ID,Condition,Day 1 Date,Day 1 Intended Bedtime,Day 1 Actual Bedtime,Day 1 Bedtime Difference Time (sec),Day 1 Nudge Time,Day 1 Rise Time,Day 1 In Bed Time (sec),Day 1 Had Rise Reason,Day 1 Fitness,Day 1 Adherence Importance,Day 2 Date,Day 2 Intended Bedtime,Day 2 Actual Bedtime,Day 2 Bedtime Difference Time (sec),Day 2 Nudge Time,Day 2 Rise Time,Day 2 In Bed Time (sec),Day 2 Had Rise Reason,Day 2 Fitness,Day 2 Adherence Importance,Day 3 Date,Day 3 Intended Bedtime,Day 3 Actual Bedtime,Day 3 Bedtime Difference Time (sec),Day 3 Nudge Time,Day 3 Rise Time,Day 3 In Bed Time (sec),Day 3 Had Rise Reason,Day 3 Fitness,Day 3 Adherence Importance,Day 4 Date,Day 4 Intended Bedtime,Day 4 Actual Bedtime,Day 4 Bedtime Difference Time (sec),Day 4 Nudge Time,Day 4 Rise Time,Day 4 In Bed Time (sec),Day 4 Had Rise Reason,Day 4 Fitness,Day 4 Adherence Importance,Day 5 Date,Day 5 Intended Bedtime,Day 5 Actual Bedtime,Day 5 Bedtime Difference Time (sec),Day 5 Nudge Time,Day 5 Rise Time,Day 5 In Bed Time (sec),Day 5 Had Rise Reason,Day 5 Fitness,Day 5 Adherence Importance,Day 6 Date,Day 6 Intended Bedtime,Day 6 Actual Bedtime,Day 6 Bedtime Difference Time (sec),Day 6 Nudge Time,Day 6 Rise Time,Day 6 In Bed Time (sec),Day 6 Had Rise Reason,Day 6 Fitness,Day 6 Adherence Importance,Day 7 Date,Day 7 Intended Bedtime,Day 7 Actual Bedtime,Day 7 Bedtime Difference Time (sec),Day 7 Nudge Time,Day 7 Rise Time,Day 7 In Bed Time (sec),Day 7 Had Rise Reason,Day 7 Fitness,Day 7 Adherence Importance,Day 8 Date,Day 8 Intended Bedtime,Day 8 Actual Bedtime,Day 8 Bedtime Difference Time (sec),Day 8 Nudge Time,Day 8 Rise Time,Day 8 In Bed Time (sec),Day 8 Had Rise Reason,Day 8 Fitness,Day 8 Adherence Importance,Day 9 Date,Day 9 Intended Bedtime,Day 9 Actual Bedtime,Day 9 Bedtime Difference Time (sec),Day 9 Nudge Time,Day 9 Rise Time,Day 9 In Bed Time (sec),Day 9 Had Rise Reason,Day 9 Fitness,Day 9 Adherence Importance,Day 10 Date,Day 10 Intended Bedtime,Day 10 Actual Bedtime,Day 10 Bedtime Difference Time (sec),Day 10 Nudge Time,Day 10 Rise Time,Day 10 In Bed Time (sec),Day 10 Had Rise Reason,Day 10 Fitness,Day 10 Adherence Importance,Day 11 Date,Day 11 Intended Bedtime,Day 11 Actual Bedtime,Day 11 Bedtime Difference Time (sec),Day 11 Nudge Time,Day 11 Rise Time,Day 11 In Bed Time (sec),Day 11 Had Rise Reason,Day 11 Fitness,Day 11 Adherence Importance,Day 12 Date,Day 12 Intended Bedtime,Day 12 Actual Bedtime,Day 12 Bedtime Difference Time (sec),Day 12 Nudge Time,Day 12 Rise Time,Day 12 In Bed Time (sec),Day 12 Had Rise Reason,Day 12 Fitness,Day 12 Adherence Importance
13,1,2015-04-12,22:15,22:24,540.0,22:15,08:30,28218.0,YES,69,77,2015-04-13,22:45,23:07,1320.0,22:45,06:15,25649.0,YES,70,85,2015-04-14,23:15,23:19,240.0,23:00,06:15,25816.0,YES,60,59,2015-04-15,22:45,23:01,960.0,22:45,06:30,26934.0,YES,38,71,2015-04-16,22:30,23:02,1920.0,22:30,06:30,26854.0,YES,68,77,2015-04-17,23:00,23:23,1380.0,22:45,06:30,NA,NO,46,43,2015-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-19,01:00,22:51,-7740.0,22:30,08:30,26582.0,NO,56,48,2015-04-20,22:15,22:46,1860.0,22:15,06:15,28422.0,YES,43,75,2015-04-21,22:55,22:55,0.0,22:55,06:40,26343.0,YES,66,82,2015-04-22,22:00,23:06,3960.0,22:30,06:15,26323.0,NO,0,0,2015-04-23,22:55,22:52,-180.0,22:55,06:25,31022.0,NO,77,38
14,1,2015-04-12,23:45,00:32,2820.0,23:45,12:00,23879.0,YES,14,29,2015-04-13,00:00,01:10,4200.0,23:45,07:10,21562.0,NO,0,0,2015-04-14,23:45,00:38,3180.0,23:45,07:10,21974.0,YES,19,34,2015-04-15,23:00,00:51,6660.0,23:45,06:45,17928.0,NO,0,0,2015-04-16,23:00,00:25,5100.0,23:45,05:50,24300.0,YES,11,36,2015-04-17,01:00,NA,NA,03:00,07:10,NA,NO,0,0,2015-04-18,01:00,03:35,9300.0,05:00,10:00,NA,NO,51,12,2015-04-19,NA,NA,NA,23:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-21,00:00,01:10,4200.0,23:45,07:10,NA,YES,14,20,2015-04-22,NA,NA,NA,23:45,NA,NA,NA,NA,NA,2015-04-23,00:00,01:48,6480.0,23:45,06:50,NA,YES,12,62
15,1,2015-04-12,NA,NA,NA,00:00,NA,NA,NA,NA,NA,2015-04-13,23:45,00:11,1560.0,23:45,07:10,25139.0,NO,0,0,2015-04-14,23:45,00:22,2220.0,23:45,07:10,24459.0,NO,86,0,2015-04-15,03:00,00:03,-10620.0,00:15,07:10,32190.0,NO,78,35,2015-04-16,23:45,00:10,1500.0,23:45,09:00,25167.0,YES,93,48,2015-04-17,23:45,00:16,1860.0,23:45,07:10,32621.0,NO,87,0,2015-04-18,01:00,01:50,3000.0,01:00,09:20,27588.0,NO,92,25,2015-04-19,00:00,00:11,660.0,00:00,09:30,28992.0,YES,90,49,2015-04-20,23:45,00:01,960.0,23:45,08:15,NA,YES,83,50,2015-04-21,NA,NA,NA,NA,NA,NA,NO,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-23,03:00,00:20,-9600.0,23:55,08:15,28454.0,NO,87,0
16,0,2015-04-12,22:30,23:04,2040.0,NA,10:00,25856.0,YES,61,70,2015-04-13,23:00,23:05,300.0,NA,06:15,25784.0,YES,65,61,2015-04-14,23:00,23:21,1260.0,NA,06:15,32936.0,NO,53,39,2015-04-15,23:00,21:55,-3900.0,NA,08:30,29968.0,YES,62,64,2015-04-16,23:30,23:37,420.0,NA,06:15,36449.0,NO,68,40,2015-04-17,23:00,23:35,2100.0,NA,09:45,78853.0,NO,46,38,2015-04-18,22:30,23:51,4860.0,NA,21:30,32887.0,YES,22,45,2015-04-19,22:30,23:15,2700.0,NA,09:00,29679.0,YES,43,65,2015-04-20,22:30,23:00,1800.0,NA,07:30,26072.0,YES,49,56,2015-04-21,23:00,23:48,2880.0,NA,06:15,32210.0,YES,54,66,2015-04-22,22:45,22:22,-1380.0,NA,08:45,28346.0,YES,53,75,2015-04-23,23:30,00:15,2700.0,NA,06:15,30594.0,YES,54,56
17,1,2015-04-12,23:00,23:43,2580.0,23:59,08:30,27080.0,YES,28,81,2015-04-13,23:00,NA,NA,NA,07:15,NA,YES,47,77,2015-04-14,23:00,00:05,3900.0,23:33,07:15,28463.0,YES,52,61,2015-04-15,22:59,23:15,960.0,22:59,08:00,28794.0,YES,62,68,2015-04-16,23:30,00:14,2640.0,23:28,07:15,25246.0,NO,0,0,2015-04-17,23:59,00:13,840.0,23:59,07:15,29790.0,NO,67,26,2015-04-18,23:30,23:30,0.0,23:29,08:30,32386.0,NO,63,47,2015-04-19,23:00,23:06,360.0,22:50,08:30,29283.0,NO,0,0,2015-04-20,23:00,23:08,480.0,23:31,07:15,29190.0,YES,71,76,2015-04-21,23:00,00:09,4140.0,23:52,07:15,29149.0,NO,71,72,2015-04-22,23:15,23:26,660.0,NA,08:15,NA,YES,68,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,2015-05-31,NA,NA,NA,22:30,NA,NA,NA,NA,NA,2015-06-01,23:30,00:01,1860.0,22:30,11:15,28704.0,NO,66,14,2015-06-02,23:00,00:19,4740.0,23:00,08:00,22528.0,YES,63,67,2015-06-03,22:30,00:10,6000.0,23:30,06:35,23683.0,YES,55,63,2015-06-04,23:00,23:15,900.0,23:00,06:45,27874.0,YES,72,38,2015-06-05,00:00,23:48,-720.0,23:00,07:00,34862.0,NO,84,20,2015-06-06,00:00,00:14,840.0,23:30,09:30,45908.0,NO,74,28,2015-06-07,23:30,00:01,1860.0,23:30,13:00,25995.0,YES,42,59,2015-06-08,23:00,22:53,-420.0,22:30,07:15,28288.0,YES,67,71,2015-06-09,23:30,NA,NA,23:30,06:45,NA,YES,64,59,2015-06-10,23:30,23:07,-1380.0,23:30,06:45,28342.0,YES,72,20,2015-06-11,23:30,23:13,-1020.0,23:00,07:00,27096.0,YES,71,35
19,0,2015-05-31,23:30,00:43,4380.0,NA,09:00,NA,YES,36,66,2015-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-02,23:30,23:58,1680.0,NA,08:30,27095.0,NO,0,0,2015-06-03,00:00,NA,NA,NA,07:30,NA,YES,41,63,2015-06-04,23:30,00:08,2280.0,NA,07:30,31909.0,YES,36,72,2015-06-05,00:00,23:45,-900.0,NA,09:00,NA,NO,45,61,2015-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-07,23:30,00:11,2460.0,NA,09:00,29926.0,YES,61,65,2015-06-08,23:30,23:51,1260.0,NA,08:30,NA,YES,54,57,2015-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-10,00:00,00:14,840.0,NA,08:00,NA,YES,95,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,2015-05-31,23:00,22:31,-1740.0,23:00,08:50,41296.0,NO,45,0,2015-06-01,23:30,23:47,1020.0,23:29,10:00,29531.0,NO,0,0,2015-06-02,23:00,23:18,1080.0,23:00,08:00,34862.0,NO,38,0,2015-06-03,23:30,23:38,480.0,23:30,09:00,28914.0,YES,75,49,2015-06-04,23:00,23:14,840.0,23:00,07:40,27941.0,YES,48,89,2015-06-05,23:30,23:54,1440.0,23:30,07:00,25525.0,NO,82,80,2015-06-06,23:30,04:06,16560.0,23:30,07:00,21197.0,NO,89,51,2015-06-07,23:00,00:24,5040.0,23:01,10:00,24614.0,YES,81,70,2015-06-08,23:30,00:10,2400.0,23:40,07:15,27572.0,NO,60,73,2015-06-09,23:40,00:03,1380.0,23:40,07:50,35804.0,NO,0,0,2015-06-10,23:30,00:28,3480.0,23:28,10:00,24110.0,NO,0,0,2015-06-11,23:00,00:26,5160.0,23:00,07:10,22723.0,YES,55,88
22,1,2015-05-31,22:30,22:44,840.0,22:30,10:00,38714.0,NO,0,0,2015-06-01,22:30,22:37,420.0,22:30,09:30,26546.0,YES,77,80,2015-06-02,22:30,22:35,300.0,22:30,06:00,33842.0,NO,69,0,2015-06-03,22:30,22:18,-720.0,22:45,08:00,36989.0,YES,68,62,2015-06-04,22:30,22:27,-180.0,22:30,08:35,27150.0,YES,86,89,2015-06-05,00:00,22:29,-5460.0,23:30,06:00,36005.0,NO,0,0,2015-06-06,03:30,03:52,1320.0,03:30,08:30,22035.0,NO,85,10,2015-06-07,22:00,22:06,360.0,22:30,10:00,32910.0,NO,23,0,2015-06-08,22:30,23:04,2040.0,22:30,07:15,24932.0,YES,47,79,2015-06-09,22:30,22:31,60.0,22:30,06:00,33191.0,YES,46,61,2015-06-10,22:45,22:32,-780.0,22:30,07:45,40322.0,NO,76,35,2015-06-11,23:00,23:55,3300.0,23:00,09:45,32656.0,NO,81,31
23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,2015-05-31,22:00,NA,NA,NA,10:15,NA,YES,6,75,2015-06-01,22:30,22:26,-240.0,NA,07:40,33202.0,NO,0,0,2015-06-02,22:30,21:30,-3600.0,NA,07:40,41342.0,YES,64,33,2015-06-03,22:30,NA,NA,NA,09:00,NA,YES,73,25,2015-06-04,22:30,00:08,5880.0,NA,07:40,NA,NO,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,2015-05-31,23:30,23:37,420.0,23:25,08:00,NA,YES,12,66,2015-06-01,NA,NA,NA,23:45,NA,NA,NA,NA,NA,2015-06-02,22:45,00:30,6300.0,22:15,09:30,31445.0,NO,0,0,2015-06-03,23:00,00:13,4380.0,23:20,09:15,23201.0,YES,63,70,2015-06-04,22:45,00:20,5700.0,22:15,06:40,23968.0,YES,44,24,2015-06-05,22:45,23:43,3480.0,21:45,07:00,23515.0,YES,78,83,2015-06-06,01:00,03:38,9480.0,02:30,06:15,28587.0,NO,47,10,2015-06-07,23:00,00:32,5520.0,22:30,11:35,23237.0,YES,8,49,2015-06-08,23:00,23:27,1620.0,22:45,07:00,34339.0,YES,51,34,2015-06-09,23:00,01:33,9180.0,23:45,09:00,28596.0,YES,50,15,2015-06-10,23:00,00:25,5100.0,23:45,09:30,23692.0,YES,62,80,2015-06-11,00:00,NA,NA,23:45,07:00,NA,YES,59,59
28,0,2015-04-12,00:00,00:18,1080.0,NA,10:30,34894.0,YES,75,62,2015-04-13,23:00,00:35,5700.0,NA,10:00,33895.0,NO,0,0,2015-04-14,23:30,23:43,780.0,NA,10:00,35192.0,NO,0,0,2015-04-15,23:30,00:19,2940.0,NA,09:30,24950.0,YES,55,86,2015-04-16,23:30,00:24,3240.0,NA,07:15,33624.0,NO,0,0,2015-04-17,23:30,00:08,2280.0,NA,09:45,40895.0,NO,0,0,2015-04-18,00:00,00:12,720.0,NA,11:30,37022.0,NO,100,19,2015-04-19,23:30,00:15,2700.0,NA,10:30,32690.0,YES,59,62,2015-04-20,23:30,23:53,1380.0,NA,09:20,36406.0,NO,0,0,2015-04-21,23:30,23:33,180.0,NA,10:00,24994.0,YES,55,90,2015-04-22,23:30,00:09,2340.0,NA,06:30,25816.0,NO,0,0,2015-04-23,23:30,23:54,1440.0,NA,07:20,30935.0,YES,38,64
29,0,2015-05-31,NA,NA,NA,NA,NA,NA,NO,0,0,2015-06-01,23:30,22:45,-2700.0,NA,06:30,27869.0,YES,37,73,2015-06-02,23:00,23:46,2760.0,NA,06:30,24214.0,YES,77,67,2015-06-03,23:45,00:18,1980.0,NA,06:30,22271.0,YES,69,71,2015-06-04,01:00,NA,NA,NA,06:30,NA,YES,44,64,2015-06-05,00:00,00:42,2520.0,NA,06:30,NA,NO,62,43,2015-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-07,23:30,NA,NA,NA,09:15,NA,YES,68,80,2015-06-08,23:30,00:07,2220.0,NA,06:30,26558.0,YES,40,89,2015-06-09,23:30,00:13,2580.0,NA,07:30,22577.0,NO,72,0,2015-06-10,23:45,23:37,-480.0,NA,06:30,NA,NO,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0,2015-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-02,23:30,23:53,1380.0,NA,06:45,22893.0,NO,70,0,2015-06-03,23:30,23:50,1200.0,NA,06:15,19489.0,YES,49,70,2015-06-04,23:30,23:46,960.0,NA,05:15,21536.0,YES,56,78,2015-06-05,23:15,23:45,1800.0,NA,05:45,26077.0,YES,80,87,2015-06-06,23:30,00:20,3000.0,NA,07:00,26691.0,NO,76,66,2015-06-07,23:30,00:04,2040.0,NA,07:45,23438.0,YES,57,70,2015-06-08,23:30,23:23,-420.0,NA,06:35,21966.0,YES,55,75,2015-06-09,23:30,23:30,0.0,NA,05:30,26397.0,YES,69,49,2015-06-10,23:30,01:22,6720.0,NA,06:50,18475.0,YES,81,71,2015-06-11,23:15,00:01,2760.0,NA,06:30,22407.0,YES,47,91
31,0,2015-05-31,00:30,00:46,960.0,NA,10:15,26919.0,YES,72,81,2015-06-01,23:45,00:08,1380.0,NA,08:15,29787.0,YES,31,0,2015-06-02,23:30,00:41,4260.0,NA,08:25,28123.0,YES,14,37,2015-06-03,23:45,02:13,8880.0,NA,08:30,20794.0,YES,69,66,2015-06-04,01:30,01:42,720.0,NA,08:00,25034.0,NO,34,0,2015-06-05,01:30,03:57,8820.0,NA,08:40,16330.0,NO,0,0,2015-06-06,01:00,02:09,4140.0,NA,08:30,24614.0,NO,0,0,2015-06-07,01:00,00:11,-2940.0,NA,09:00,29285.0,YES,36,65,2015-06-08,00:30,01:22,3120.0,NA,08:20,20258.0,YES,68,82,2015-06-09,00:30,00:15,-900.0,NA,07:00,30863.0,YES,42,71,2015-06-10,00:30,01:50,4800.0,NA,08:50,23666.0,YES,65,67,2015-06-11,00:30,02:48,8280.0,NA,08:25,22276.0,YES,20,23
32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,2015-04-12,23:00,23:50,3000.0,23:30,11:00,24866.0,YES,64,42,2015-04-13,22:30,23:01,1860.0,22:30,06:45,27806.0,YES,57,66,2015-04-14,22:30,22:56,1560.0,22:30,06:45,28136.0,YES,57,67,2015-04-15,22:30,22:41,660.0,22:30,06:45,29013.0,YES,61,62,2015-04-16,22:00,22:17,1020.0,22:00,06:45,30440.0,YES,53,78,2015-04-17,23:30,00:25,3300.0,23:30,06:45,NA,NO,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-19,22:00,22:49,2940.0,21:45,11:00,28533.0,YES,53,72,2015-04-20,22:30,23:21,3060.0,22:30,06:45,26627.0,YES,60,78,2015-04-21,22:30,23:04,2040.0,22:30,06:45,27648.0,YES,60,81,2015-04-22,00:00,00:05,300.0,00:00,06:45,23951.0,YES,58,72,2015-04-23,21:30,22:10,2400.0,21:20,06:45,30273.0,YES,54,76
34,0,2015-05-31,22:30,22:58,1680.0,NA,09:00,28889.0,YES,40,38,2015-06-01,22:30,23:04,2040.0,NA,07:00,30353.0,YES,44,48,2015-06-02,22:30,23:15,2700.0,NA,07:30,28756.0,YES,22,69,2015-06-03,22:30,23:18,2880.0,NA,07:15,28583.0,YES,32,58,2015-06-04,22:30,00:05,5700.0,NA,07:15,26696.0,NO,0,0,2015-06-05,22:30,00:06,5760.0,NA,07:30,30192.0,YES,30,40,2015-06-06,23:00,00:30,5400.0,NA,08:30,25173.0,YES,50,47,2015-06-07,23:00,22:57,-180.0,NA,07:30,28965.0,YES,38,46,2015-06-08,22:30,23:14,2640.0,NA,07:00,29729.0,YES,45,46,2015-06-09,23:00,23:26,1560.0,NA,07:30,28995.0,YES,49,38,2015-06-10,23:00,00:51,6660.0,NA,07:30,22111.0,YES,42,56,2015-06-11,22:30,01:05,9300.0,NA,07:00,23080.0,YES,27,47
35,1,2015-04-12,NA,NA,NA,23:25,NA,NA,NA,NA,NA,2015-04-13,23:30,23:39,540.0,23:30,06:15,23715.0,NO,19,0,2015-04-14,23:50,23:56,360.0,23:54,06:15,23031.0,YES,96,43,2015-04-15,23:20,23:35,900.0,23:20,06:20,24584.0,YES,96,0,2015-04-16,23:30,23:42,720.0,23:31,06:25,23561.0,NO,93,0,2015-04-17,23:45,23:58,780.0,23:40,06:15,28891.0,NO,96,0,2015-04-18,00:00,NA,NA,02:29,08:00,NA,NO,47,0,2015-04-19,NA,NA,NA,23:30,NA,NA,NA,NA,NA,2015-04-20,23:15,23:40,1500.0,23:30,06:15,27253.0,NO,87,58,2015-04-21,23:58,00:17,1140.0,23:45,07:15,25940.0,NO,100,11,2015-04-22,23:30,23:46,960.0,23:15,07:30,23003.0,YES,80,93,2015-04-23,23:00,23:22,1320.0,23:15,06:10,24734.0,YES,93,100
36,0,2015-05-31,22:00,23:42,6120.0,NA,10:00,28051.0,YES,45,66,2015-06-01,22:00,22:12,720.0,NA,07:30,32527.0,YES,27,84,2015-06-02,22:00,22:29,1740.0,NA,07:15,34236.0,YES,24,62,2015-06-03,22:30,23:19,2940.0,NA,08:00,29433.0,YES,55,66,2015-06-04,22:30,22:40,600.0,NA,07:30,31798.0,YES,37,44,2015-06-05,23:00,22:55,-300.0,NA,07:30,37191.0,NO,0,0,2015-06-06,23:00,23:38,2280.0,NA,09:15,35469.0,NO,57,22,2015-06-07,22:30,23:08,2280.0,NA,09:30,29186.0,YES,59,68,2015-06-08,22:30,22:21,-540.0,NA,07:15,34685.0,YES,49,63,2015-06-09,22:30,23:40,4200.0,NA,08:00,28151.0,YES,50,59,2015-06-10,22:30,23:06,2160.0,NA,07:30,31995.0,YES,46,70,2015-06-11,23:45,00:19,2040.0,NA,08:00,27618.0,NO,0,0
37,0,2015-05-31,00:00,01:13,4380.0,NA,08:30,23481.0,YES,34,11,2015-06-01,23:30,00:09,2340.0,NA,07:45,NA,YES,17,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-03,00:00,00:59,3540.0,NA,07:45,24613.0,YES,25,50,2015-06-04,23:30,00:46,4560.0,NA,07:50,26283.0,YES,18,38,2015-06-05,01:00,02:51,6660.0,NA,08:05,NA,NO,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-07,23:30,00:29,3540.0,NA,12:00,27355.0,NO,0,0,2015-06-08,23:00,01:08,7680.0,NA,08:05,24682.0,YES,6,70,2015-06-09,23:00,NA,NA,NA,08:00,NA,YES,23,100,2015-06-10,23:30,00:35,3900.0,NA,07:45,26952.0,YES,36,100,2015-06-11,23:30,00:52,4920.0,NA,08:05,19628.0,YES,24,20
